effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),6.888838321976507,0.20878584057018218,6.481724766720764,7.3083105919088185
fixed,cond,NA,cost_deviation,0.001034432365065257,2.823981429120671e-4,4.8090124985750746e-4,0.0015890756892565953
fixed,cond,NA,treat_any,0.3743345740957884,0.09857829868826633,0.17958660562589498,0.5654309652539624
fixed,cond,NA,treat_GK,-0.2680720445727521,0.09923897837198738,-0.4587726565025769,-0.07018459662221092
fixed,cond,NA,productiveassets_asinh_R1,0.33428705491854105,0.016545350597394363,0.3020853320423275,0.36627946695508456
fixed,cond,NA,Lhh_wealth_asinh,-8.136565602266312e-4,0.0069210782585173896,-0.014503752370657173,0.01271153723469959
fixed,cond,NA,Lvill_eligible_ratio,0.12353332612387502,0.40200721519553534,-0.6735345556487693,0.8833288313071685
fixed,cond,NA,Lconsumpti_x_Lassetscon,0.0057485764733926645,6.242211885353775e-4,0.004495092338522142,0.006982123831259605
ran_pars,cond,block,sd__(Intercept),0.33589574138235095,0.07119648063650173,0.2181694994554568,0.495997369061933
ran_pars,cond,vid,sd__(Intercept),0.4325367769718203,0.03896910653466198,0.35943274571422834,0.5118299440401817
ran_pars,cond,Residual,sd__Observation,1.4995238286816452,0.01744133732460796,1.4660848897950114,1.5339261094444696
