effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),0.35020486193575334,5.633423352146774,-15.696075269349915,4.750085318452089
fixed,cond,NA,cost_deviation,0.0026272772899544575,0.002046203604678317,-4.4459327489124347e-4,0.007317783566648067
fixed,cond,NA,treat_any,0.16238471314871442,1.2226226511415508,-1.4669880365363446,1.9260414902743348
fixed,cond,NA,treat_GK,0.5797008243016263,1.268181700446151,-1.5387930239787002,1.7858368340422222
fixed,cond,NA,assetsconsumption_asinh_R1,0.12485651073882201,0.6224268069401206,-1.322538458280671,0.8192539416339875
fixed,cond,NA,Lhh_wealth_asinh,-0.18578734363736232,0.221251665892919,-0.5705846781682296,-0.018829554773583584
fixed,cond,NA,Lvill_eligible_ratio,0.7209735330609266,0.6110758177907938,-0.24110297699281036,1.5550414870036753
fixed,cond,NA,Lroomsnumb,-0.09027248757856401,0.8436152563614598,-1.486119596304559,1.1374243496309133
fixed,cond,NA,Ldurablesexpenditure,-6.19677781334425e-6,1.6729393823002274e-5,-5.1409263598741984e-5,5.1092165290724665e-6
fixed,cond,NA,Ldietarydi_x_Lassetscon,0.18313917154941753,0.28366552630095715,0.012374224146476799,0.6968845884728626
fixed,cond,NA,Lproductiv_x_Lassetscon,6.786797574600674e-4,0.07874728402020775,-0.17390289806122933,0.12349055543580785
ran_pars,cond,block,sd__(Intercept),0.8906243590346203,1.0891575113036696,0.004145850370890312,2.727988348272241
ran_pars,cond,vid,sd__(Intercept),0.7320475532921745,0.5759814501971252,0.297875139911833,1.7138094474976104
ran_pars,cond,Residual,sd__Observation,7.203191819913609,6.315464398001225,3.3410949316857166,19.920372638390592
