effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),8.424536690491491,6.655314177688319,-3.447584278731703,19.512009365078637
fixed,cond,NA,cost_deviation,1.0564701705742852e-4,0.0010766594708598014,-0.001533199647853409,0.002560583536588476
fixed,cond,NA,treat_any,0.49726604199923036,1.2123959822673245,-1.455759621783324,1.7586569743592158
fixed,cond,NA,treat_GK,0.8948986556338544,0.9561401465998824,-0.7684562394777756,1.7800443866439708
fixed,cond,NA,selfcostdwell_asinh_R1,0.0919117688430732,0.7502388296014798,-1.2793592918277474,0.80543630157729
fixed,cond,NA,Lhh_wealth_asinh,0.05361471184334124,0.06442231246523744,-0.023725210443615953,0.185958194184335
fixed,cond,NA,Lvill_eligible_ratio,0.7428959392007057,0.5336070564297523,-0.14426899146116942,1.3269841936566669
fixed,cond,NA,Lroomsnumb,0.04711638803192713,0.9514772875443763,-1.471537541516339,1.2742450356983668
fixed,cond,NA,Ldurablesexpenditure,3.236729525762934e-6,2.711937551739291e-6,4.57504995225641e-7,1.0331060128729185e-5
ran_pars,cond,block,sd__(Intercept),0.840612433399591,0.39321756400246044,0.4474635840348398,1.8224941721658072
ran_pars,cond,vid,sd__(Intercept),0.2369540669484091,0.08460412956556154,0.1580785208248385,0.5079143099820029
ran_pars,cond,Residual,sd__Observation,3.3728333125562924,2.493596599556716,1.0784351711437217,10.449024049974035
