effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),7.9220042758357065,0.3109561027908923,7.356993012696196,8.510071405952257
fixed,cond,NA,cost_deviation,0.0011057612028196949,5.779953758097291e-4,8.029117635696288e-5,0.0022201116208573767
fixed,cond,NA,treat_any,-0.06861693359492846,0.26009455986226754,-0.45356917163930843,0.3319066290126358
fixed,cond,NA,treat_GK,-0.026515080729832823,0.23399140127966447,-0.3764987471074468,0.43264418221310974
fixed,cond,NA,wealth_asinh_R1,14.290531921878626,168.21037097185797,-294.9670872460568,224.22541611422065
fixed,cond,NA,Lhh_wealth_asinh,-14.112865688278218,168.20080171945622,-224.0571653987408,295.1221103689835
fixed,cond,NA,Lvill_eligible_ratio,-0.3886015705989416,0.45625319679100573,-1.0207777204007418,0.6736306162219686
fixed,cond,NA,Lowndwelling,3.5519314558712853,0.22035978627694963,3.228500508072803,3.938741885077283
ran_pars,cond,block,sd__(Intercept),0.5193683639563075,0.09687772586491798,0.3957971769889767,0.7514457628215384
ran_pars,cond,vid,sd__(Intercept),1.0339322316903299,0.05778378845096697,0.9114941066503742,1.1402803782747433
ran_pars,cond,Residual,sd__Observation,3.427036189483226,0.02603573528582567,3.372428079710492,3.4815261517025866
