effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),8.512242518156725,0.17966044157404623,8.17902178222038,8.85538944078168
fixed,cond,NA,cost_deviation,5.887291918761112e-4,2.356478622497496e-4,1.416254009500846e-4,0.0010760588552823133
fixed,cond,NA,treat_any,0.10733830386392638,0.08233268051686327,-0.05211102881710537,0.27052125049163034
fixed,cond,NA,treat_GK,-0.1312636713477207,0.0821157374296059,-0.28627615814545293,0.0287668456990881
fixed,cond,NA,consumption_asinh_R1,0.18460598591020722,0.013603130090171727,0.15710622581274225,0.21025962143416088
fixed,cond,NA,Lhh_wealth_asinh,0.01900242088135487,0.0047576784686056296,0.009579871495369327,0.02829942832749836
fixed,cond,NA,Lvill_eligible_ratio,0.1742523659713643,0.3344185439940569,-0.4730828099501556,0.8245673491785652
ran_pars,cond,block,sd__(Intercept),0.2621967098871638,0.05818273107054065,0.16335560328561688,0.3906186933489171
ran_pars,cond,vid,sd__(Intercept),0.3818397685537754,0.030027772960796832,0.3266996399417443,0.4452748543548201
ran_pars,cond,Residual,sd__Observation,1.164389893548258,0.013295160717981567,1.1377935702209538,1.189652385587507
