effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),-2.005413673102369,0.2393787664766647,-2.479278162545394,-1.5619061230023459
fixed,cond,NA,cost_deviation,1.238551194685011e-4,5.601792317887916e-4,-9.926987635467408e-4,0.0012028595567495826
fixed,cond,NA,treat_any,0.20354193382321448,0.20184078568820021,-0.19253985575298377,0.5853604067108086
fixed,cond,NA,treat_GK,-0.29794063059100634,0.20194446193533902,-0.6924897310728633,0.09295327112077739
fixed,cond,NA,sanitation_practices_R1,0.10913177527613367,0.017601634524186,0.07446212048182545,0.1447236857676868
fixed,cond,NA,Lhh_wealth_asinh,0.03748333121454594,0.011873441110833355,0.014059123661085218,0.06050504341298853
fixed,cond,NA,Lvill_eligible_ratio,0.03183653323072112,0.6942031030347069,-1.276030091797044,1.3976279662574242
fixed,cond,NA,Lproductiv_x_Lassetscon,0.008337995221759358,9.22793594337121e-4,0.006565865282899197,0.010130145945767204
ran_pars,cond,block,sd__(Intercept),0.16910405678364535,0.11549899868555161,0.007919823448227812,0.4297327095838851
ran_pars,cond,vid,sd__(Intercept),0.9681736682605159,0.07016446968127862,0.8350383040426556,1.1118748059092007
ran_pars,cond,Residual,sd__Observation,2.6265232094748563,0.03045741751345149,2.566682800793285,2.6859450156922042
