effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),1.7777882243653396,0.4644747691287039,0.8880582184694209,2.6766488167936693
fixed,cond,NA,cost_deviation,0.0013629977541199563,8.686585094047348e-4,-2.8955987709962307e-4,0.003050035791333204
fixed,cond,NA,treat_any,-0.13710030093727615,0.29870809154830247,-0.718605609293216,0.4564605306471908
fixed,cond,NA,treat_GK,1.3012890618023227,0.3106798534470305,0.7260220300004708,1.912330139080991
fixed,cond,NA,savingsstock_asinh_R1,0.1718445128774524,0.015430440746912893,0.14042594538141337,0.2014165271538827
fixed,cond,NA,Lhh_wealth_asinh,-0.052419244396801554,0.018537863653702708,-0.08923490779765973,-0.015626975786485663
fixed,cond,NA,Lvill_eligible_ratio,1.612526564229722,1.1551633687682341,-0.6459056039848698,3.79624089114057
fixed,cond,NA,Lconsumpti_x_Lproductiv,0.02187969757818361,0.0031287182696180826,0.015731775495703152,0.028037404329796484
fixed,cond,NA,Lconsumpti_x_Lassetscon,0.011217391907063421,0.0019078506101766778,0.007387835007741051,0.014843540870105034
ran_pars,cond,block,sd__(Intercept),0.6969073374478617,0.19743247029665667,0.3335830564436655,1.1105512101651067
ran_pars,cond,vid,sd__(Intercept),1.404661332552517,0.11251390353457134,1.1949292115403096,1.6297207519409778
ran_pars,cond,Residual,sd__Observation,4.150047915098977,0.04954792306506322,4.05333352448994,4.250359185034995
